Training mode
Episode 1 | Step 1 | Step Reward: 0.00244140625
Episode 1 | Step 2 | Step Reward: -0.0001220703125
Episode 1 | Step 3 | Step Reward: -0.0
Episode 1 | Step 4 | Step Reward: 0.0001220703125
Episode 1 | Step 5 | Step Reward: -0.0
Episode 1 | Step 6 | Step Reward: 0.0001220703125
Episode 1 | Step 7 | Step Reward: -0.0
Episode 1 | Step 8 | Step Reward: -0.0
Episode 1 | Step 9 | Step Reward: 0.0001220703125
Episode 1 | Step 10 | Step Reward: -0.0
Episode 1 | Step 11 | Step Reward: 0.000244140625
Episode 1 | Step 12 | Step Reward: -0.0001220703125
Episode 1 | Step 13 | Step Reward: 0.0003662109375
Episode 1 | Step 14 | Step Reward: 0.000244140625
Episode 1 | Step 15 | Step Reward: 0.0006103515625
Episode 1 | Step 16 | Step Reward: -0.0
Episode 1 | Step 17 | Step Reward: -0.0
Episode 1 | Step 18 | Step Reward: -0.0
Episode 1 | Step 19 | Step Reward: 0.00048828125
Episode 1 | Step 20 | Step Reward: -0.0
Episode 1 | Step 21 | Step Reward: 0.0009765625
Episode 1 | Step 22 | Step Reward: 0.000244140625
Episode 1 | Step 23 | Step Reward: 0.0013427734375
Episode 1 | Step 24 | Step Reward: -0.0
Episode 1 | Step 25 | Step Reward: 0.0001220703125
Episode 1 | Step 26 | Step Reward: -0.0
Episode 1 | Step 27 | Step Reward: -0.0001220703125
Episode 1 | Step 28 | Step Reward: 0.0001220703125
Episode 1 | Step 29 | Step Reward: -0.0
Episode 1 | Step 30 | Step Reward: -0.0
Episode 1 | Step 31 | Step Reward: -0.0
Episode 1 | Step 32 | Step Reward: -0.0
Episode 1 | Step 33 | Step Reward: -0.0
Episode 1 | Step 34 | Step Reward: -0.0
Episode 1 | Step 35 | Step Reward: -0.0
Episode 1 | Step 36 | Step Reward: -0.0
Episode 1 | Step 37 | Step Reward: -0.0
Episode 1 | Step 38 | Step Reward: -0.0
Episode 1 | Step 39 | Step Reward: -0.0
Episode 1 | Step 40 | Step Reward: 0.0013427734375
Episode 1 | Step 41 | Step Reward: -0.0001220703125
Episode 1 | Step 42 | Step Reward: -0.0
Episode 1 | Step 43 | Step Reward: 0.0001220703125
Episode 1 | Step 44 | Step Reward: 0.0001220703125
Episode 1 | Step 45 | Step Reward: -0.0
Episode 1 | Step 46 | Step Reward: 0.000244140625
Episode 1 | Step 47 | Step Reward: 0.000244140625
Episode 1 | Step 48 | Step Reward: -0.0
Episode 1 | Step 49 | Step Reward: 0.0001220703125
Episode 1 | Step 50 | Step Reward: -0.0
Episode 1 | Step 51 | Step Reward: -0.000244140625
Episode 1 | Step 52 | Step Reward: -0.000732421875
Episode 1 | Step 53 | Step Reward: -0.0001220703125
Episode 1 | Step 54 | Step Reward: -0.0
Episode 1 | Step 55 | Step Reward: -0.0
Episode 1 | Step 56 | Step Reward: -0.0
Episode 1 | Step 57 | Step Reward: -0.0001220703125
Episode 1 | Step 58 | Step Reward: -0.0
Episode 1 | Step 59 | Step Reward: -0.0
Episode 1 | Step 60 | Step Reward: -0.0
Episode 1 | Step 61 | Step Reward: -0.0
Episode 1 | Step 62 | Step Reward: -0.0
Episode 1 | Step 63 | Step Reward: -0.0
Episode 1 | Step 64 | Step Reward: -0.0
Episode 1 | Step 65 | Step Reward: -0.0
Episode 1 | Step 66 | Step Reward: -0.0
Episode 1 | Step 67 | Step Reward: -0.0
Episode 1 | Step 68 | Step Reward: -0.0
Episode 1 | Step 69 | Step Reward: -0.0
Episode 1 | Step 70 | Step Reward: -0.0
Episode 1 | Step 71 | Step Reward: -0.0
Episode 1 | Step 72 | Step Reward: -0.0
Episode 1 | Step 73 | Step Reward: -0.0
Episode 1 | Step 74 | Step Reward: -0.0
Episode 1 | Step 75 | Step Reward: -0.0
Episode 1 | Step 76 | Step Reward: -0.0
Episode 1 | Step 77 | Step Reward: -0.0
Episode 1 | Step 78 | Step Reward: -0.0
Episode 1 | Step 79 | Step Reward: -0.0
Episode 1 | Step 80 | Step Reward: -0.0
Episode 1 | Step 81 | Step Reward: -0.0
Episode 1 | Step 82 | Step Reward: -0.0
Episode 1 | Step 83 | Step Reward: -0.0
Episode 1 | Step 84 | Step Reward: -0.0
Episode 1 | Step 85 | Step Reward: -0.0
Episode 1 | Step 86 | Step Reward: -0.0
Episode 1 | Step 87 | Step Reward: -0.0
Episode 1 | Step 88 | Step Reward: -0.0
Episode 1 | Step 89 | Step Reward: -0.0
Episode 1 | Step 90 | Step Reward: -0.0
Episode 1 | Step 91 | Step Reward: -0.0
Episode 1 | Step 92 | Step Reward: -0.0
Episode 1 | Step 93 | Step Reward: -0.0
Episode 1 | Step 94 | Step Reward: -0.0
Episode 1 | Step 95 | Step Reward: -0.0
Episode 1 | Step 96 | Step Reward: -0.0
Episode 1 | Step 97 | Step Reward: -0.0
Episode 1 | Step 98 | Step Reward: -0.0
Episode 1 | Step 99 | Step Reward: -0.0
Episode 1 | Step 100 | Step Reward: -0.0
Episode 1 | Step 101 | Step Reward: -0.0
Episode 1 | Step 102 | Step Reward: -0.0
Episode 1 | Step 103 | Step Reward: -0.0
Episode 1 | Step 104 | Step Reward: -0.0
Episode 1 | Step 105 | Step Reward: -0.0
Episode 1 | Step 106 | Step Reward: -0.0
Episode 1 | Step 107 | Step Reward: -0.0001220703125
Episode 1 | Step 108 | Step Reward: -0.0
Episode 1 | Step 109 | Step Reward: -0.0
Episode 1 | Step 110 | Step Reward: -0.0
Episode 1 | Step 111 | Step Reward: -0.0
Episode 1 | Step 112 | Step Reward: -0.0
Episode 1 | Step 113 | Step Reward: -0.0
Episode 1 | Step 114 | Step Reward: -0.0
Episode 1 | Step 115 | Step Reward: -0.0
Episode 1 | Step 116 | Step Reward: -0.0
Episode 1 | Step 117 | Step Reward: -0.0
Episode 1 | Step 118 | Step Reward: -0.0
Episode 1 | Step 119 | Step Reward: -0.0
Episode 1 | Step 120 | Step Reward: 0.0001220703125
Episode 1 | Step 121 | Step Reward: -0.0
Episode 1 | Step 122 | Step Reward: -0.0
Episode 1 | Step 123 | Step Reward: -0.0
Episode 1 | Step 124 | Step Reward: -0.0
Episode 1 | Step 125 | Step Reward: -0.0
Episode 1 | Step 126 | Step Reward: -0.0
Episode 1 | Step 127 | Step Reward: -0.0
Episode 1 | Step 128 | Step Reward: -0.0
Episode 1 | Step 129 | Step Reward: -0.0
Episode 1 | Step 130 | Step Reward: -0.0
Episode 1 | Step 131 | Step Reward: -0.0
Episode 1 | Step 132 | Step Reward: -0.0
Episode 1 | Step 133 | Step Reward: -0.0
Episode 1 | Step 134 | Step Reward: -0.0
Episode 1 | Step 135 | Step Reward: -0.0
Episode 1 | Step 136 | Step Reward: -0.0
Episode 1 | Step 137 | Step Reward: -0.0
Episode 1 | Step 138 | Step Reward: -0.0
Episode 1 | Step 139 | Step Reward: -0.0
Episode 1 | Step 140 | Step Reward: -0.0
Episode 1 | Step 141 | Step Reward: -0.0
Episode 1 | Step 142 | Step Reward: -0.0
Episode 1 | Step 143 | Step Reward: -0.0
Episode 1 | Step 144 | Step Reward: -0.0
